"","SURVEY_YEA","LAT","LON","SizeSex"
"1",1988,59.8417,-171.886,"POP"
"2",1989,59.4681,-172.88,"POP"
"3",1990,59.4016,-172.376,"POP"
"4",1991,59.4508,-172.423,"POP"
"5",1992,59.3998,-171.548,"POP"
"6",1993,60.2598,-172.41,"POP"
"7",1994,60.1103,-171.847,"POP"
"8",1995,59.7475,-172.376,"POP"
"9",1996,59.6129,-172.756,"POP"
"10",1997,59.6158,-172.951,"POP"
"11",1998,59.7681,-172.973,"POP"
"12",1999,59.7294,-172.524,"POP"
"13",2000,59.7683,-172.758,"POP"
"14",2001,60.4596,-173.735,"POP"
"15",2002,59.9049,-173.052,"POP"
"16",2003,60.3835,-173.205,"POP"
"17",2004,59.5095,-171.99,"POP"
"18",2005,59.6972,-172.363,"POP"
"19",2006,59.4531,-171.72,"POP"
"20",2007,59.4879,-171.516,"POP"
"21",2008,59.3118,-171.62,"POP"
"22",2009,59.9281,-172.293,"POP"
"23",2010,60.6514,-173.827,"POP"
"24",2011,60.1345,-174.189,"POP"
"25",2012,59.5838,-173,"POP"
"26",2013,59.3486,-172.682,"POP"
"27",2014,58.7511,-171.214,"POP"
"28",2015,59.4632,-171.592,"POP"
"29",2016,60.3824,-172.522,"POP"
"30",2017,60.4963,-173.071,"POP"
"31",2018,60.2706,-172.66,"POP"
"32",2019,60.0915,-172.552,"POP"
"33",1988,60.6646,-172.4,"MALE_31TO60"
"34",1989,60.4054,-172.482,"MALE_31TO60"
"35",1990,60.4431,-172.302,"MALE_31TO60"
"36",1991,59.8778,-171.142,"MALE_31TO60"
"37",1992,59.5974,-170.634,"MALE_31TO60"
"38",1993,60.5459,-172.184,"MALE_31TO60"
"39",1994,60.5407,-171.885,"MALE_31TO60"
"40",1995,60.5202,-172.474,"MALE_31TO60"
"41",1996,60.9435,-173.686,"MALE_31TO60"
"42",1997,61.1145,-173.247,"MALE_31TO60"
"43",1998,60.9878,-172.463,"MALE_31TO60"
"44",1999,60.5821,-171.727,"MALE_31TO60"
"45",2000,60.6395,-172.465,"MALE_31TO60"
"46",2001,61.1356,-173.761,"MALE_31TO60"
"47",2002,60.7443,-172.71,"MALE_31TO60"
"48",2003,61.2978,-173.335,"MALE_31TO60"
"49",2004,59.7813,-172.027,"MALE_31TO60"
"50",2005,59.8442,-172.097,"MALE_31TO60"
"51",2006,59.7535,-171.431,"MALE_31TO60"
"52",2007,60.0343,-171.277,"MALE_31TO60"
"53",2008,60.1847,-171.795,"MALE_31TO60"
"54",2009,60.8203,-172.641,"MALE_31TO60"
"55",2010,61.0171,-174.293,"MALE_31TO60"
"56",2011,60.8065,-174.117,"MALE_31TO60"
"57",2012,60.4348,-172.816,"MALE_31TO60"
"58",2013,60.0332,-172.205,"MALE_31TO60"
"59",2014,59.0217,-170.076,"MALE_31TO60"
"60",2015,60.1277,-171.316,"MALE_31TO60"
"61",2016,60.8896,-172.604,"MALE_31TO60"
"62",2017,60.8077,-173.115,"MALE_31TO60"
"63",2018,60.5525,-172.433,"MALE_31TO60"
"64",2019,60.5798,-171.503,"MALE_31TO60"
"65",1988,58.9958,-169.919,"MALE_61TO90"
"66",1989,59.1339,-170.98,"MALE_61TO90"
"67",1990,59.5532,-171.922,"MALE_61TO90"
"68",1991,59.5107,-172.098,"MALE_61TO90"
"69",1992,59.5388,-171.562,"MALE_61TO90"
"70",1993,59.7974,-171.985,"MALE_61TO90"
"71",1994,59.2684,-170.167,"MALE_61TO90"
"72",1995,59.2407,-171.061,"MALE_61TO90"
"73",1996,59.3993,-171.733,"MALE_61TO90"
"74",1997,59.6119,-172.128,"MALE_61TO90"
"75",1998,59.6165,-171.696,"MALE_61TO90"
"76",1999,59.3365,-170.981,"MALE_61TO90"
"77",2000,59.8211,-172.134,"MALE_61TO90"
"78",2001,60.4877,-173.755,"MALE_61TO90"
"79",2002,59.9983,-172.194,"MALE_61TO90"
"80",2003,60.4503,-173.205,"MALE_61TO90"
"81",2004,60.1428,-172.262,"MALE_61TO90"
"82",2005,60.1735,-172.673,"MALE_61TO90"
"83",2006,59.3358,-171.208,"MALE_61TO90"
"84",2007,59.2422,-170.95,"MALE_61TO90"
"85",2008,59.2389,-170.767,"MALE_61TO90"
"86",2009,59.3726,-171.869,"MALE_61TO90"
"87",2010,60.1398,-173.552,"MALE_61TO90"
"88",2011,59.8746,-173.704,"MALE_61TO90"
"89",2012,59.2399,-171.675,"MALE_61TO90"
"90",2013,58.9582,-171.215,"MALE_61TO90"
"91",2014,58.8571,-170.973,"MALE_61TO90"
"92",2015,59.362,-171.714,"MALE_61TO90"
"93",2016,59.264,-171.674,"MALE_61TO90"
"94",2017,59.8252,-172.387,"MALE_61TO90"
"95",2018,59.8786,-172.35,"MALE_61TO90"
"96",2019,59.9267,-171.693,"MALE_61TO90"
"97",1988,58.824,-171.268,"MALE_91TO120"
"98",1989,58.5358,-170.766,"MALE_91TO120"
"99",1990,58.514,-170.167,"MALE_91TO120"
"100",1991,58.3603,-171.297,"MALE_91TO120"
"101",1992,58.7556,-172.019,"MALE_91TO120"
"102",1993,59.1996,-172.687,"MALE_91TO120"
"103",1994,58.8576,-172,"MALE_91TO120"
"104",1995,58.1732,-169.882,"MALE_91TO120"
"105",1996,57.9481,-169.02,"MALE_91TO120"
"106",1997,58.196,-169.922,"MALE_91TO120"
"107",1998,58.7126,-170.903,"MALE_91TO120"
"108",1999,58.6062,-171.448,"MALE_91TO120"
"109",2000,59.1871,-172.827,"MALE_91TO120"
"110",2001,59.4462,-172.854,"MALE_91TO120"
"111",2002,59.3972,-172.483,"MALE_91TO120"
"112",2003,59.4966,-172.87,"MALE_91TO120"
"113",2004,59.3524,-172.574,"MALE_91TO120"
"114",2005,58.8677,-171.854,"MALE_91TO120"
"115",2006,58.9976,-170.923,"MALE_91TO120"
"116",2007,58.6532,-171.047,"MALE_91TO120"
"117",2008,58.5496,-171.184,"MALE_91TO120"
"118",2009,58.322,-171.119,"MALE_91TO120"
"119",2010,58.3498,-171.623,"MALE_91TO120"
"120",2011,58.6567,-172.452,"MALE_91TO120"
"121",2012,58.2596,-171.423,"MALE_91TO120"
"122",2013,58.0537,-170.704,"MALE_91TO120"
"123",2014,57.9185,-169.741,"MALE_91TO120"
"124",2015,58.4495,-171.298,"MALE_91TO120"
"125",2016,58.805,-172.163,"MALE_91TO120"
"126",2017,59.306,-172.73,"MALE_91TO120"
"127",2018,58.7242,-170.854,"MALE_91TO120"
"128",2019,59.2731,-171.586,"MALE_91TO120"
"129",1988,60.5077,-172.695,"FEMALE_IMM"
"130",1989,59.8648,-171.739,"FEMALE_IMM"
"131",1990,59.579,-171.022,"FEMALE_IMM"
"132",1991,59.5602,-171.047,"FEMALE_IMM"
"133",1992,59.7179,-171.093,"FEMALE_IMM"
"134",1993,60.3403,-172.009,"FEMALE_IMM"
"135",1994,61.0464,-173.331,"FEMALE_IMM"
"136",1995,61.0871,-173.543,"FEMALE_IMM"
"137",1996,61.5587,-174.127,"FEMALE_IMM"
"138",1997,61.4623,-173.509,"FEMALE_IMM"
"139",1998,60.8423,-171.907,"FEMALE_IMM"
"140",1999,60.5586,-171.718,"FEMALE_IMM"
"141",2000,60.6942,-172.888,"FEMALE_IMM"
"142",2001,60.9512,-173.615,"FEMALE_IMM"
"143",2002,60.7493,-172.97,"FEMALE_IMM"
"144",2003,61.2526,-173.369,"FEMALE_IMM"
"145",2004,59.0594,-171.407,"FEMALE_IMM"
"146",2005,59.3404,-171.723,"FEMALE_IMM"
"147",2006,59.6575,-171.465,"FEMALE_IMM"
"148",2007,60.0775,-171.466,"FEMALE_IMM"
"149",2008,60.29,-172.248,"FEMALE_IMM"
"150",2009,60.8049,-172.376,"FEMALE_IMM"
"151",2010,60.9369,-173.879,"FEMALE_IMM"
"152",2011,60.2798,-172.938,"FEMALE_IMM"
"153",2012,59.5551,-171.204,"FEMALE_IMM"
"154",2013,59.3396,-171.05,"FEMALE_IMM"
"155",2014,58.5403,-169.53,"FEMALE_IMM"
"156",2015,59.9734,-171.275,"FEMALE_IMM"
"157",2016,60.8495,-172.752,"FEMALE_IMM"
"158",2017,60.9255,-173.026,"FEMALE_IMM"
"159",2018,60.7876,-172.724,"FEMALE_IMM"
"160",2019,61.3049,-172.526,"FEMALE_IMM"
"161",1988,59.4172,-172.165,"FEMALE_MAT"
"162",1989,59.3474,-174.114,"FEMALE_MAT"
"163",1990,59.2129,-173.765,"FEMALE_MAT"
"164",1991,59.3484,-174.207,"FEMALE_MAT"
"165",1992,59.0178,-172.663,"FEMALE_MAT"
"166",1993,59.9662,-173.296,"FEMALE_MAT"
"167",1994,59.1349,-171.21,"FEMALE_MAT"
"168",1995,59.2498,-172.891,"FEMALE_MAT"
"169",1996,59.4904,-173.991,"FEMALE_MAT"
"170",1997,59.7346,-174.212,"FEMALE_MAT"
"171",1998,59.5476,-174.243,"FEMALE_MAT"
"172",1999,59.5775,-173.842,"FEMALE_MAT"
"173",2000,59.2252,-172.939,"FEMALE_MAT"
"174",2001,60.023,-173.851,"FEMALE_MAT"
"175",2002,59.4216,-173.972,"FEMALE_MAT"
"176",2003,58.9799,-173.035,"FEMALE_MAT"
"177",2004,59.7439,-172.874,"FEMALE_MAT"
"178",2005,59.8232,-173.422,"FEMALE_MAT"
"179",2006,59.2084,-172.741,"FEMALE_MAT"
"180",2007,59.0363,-172.218,"FEMALE_MAT"
"181",2008,58.9351,-172.107,"FEMALE_MAT"
"182",2009,59.0213,-172.536,"FEMALE_MAT"
"183",2010,60.1917,-173.596,"FEMALE_MAT"
"184",2011,59.9901,-174.878,"FEMALE_MAT"
"185",2012,59.4733,-174.26,"FEMALE_MAT"
"186",2013,59.2986,-173.956,"FEMALE_MAT"
"187",2014,58.8369,-173.288,"FEMALE_MAT"
"188",2015,58.5472,-172.083,"FEMALE_MAT"
"189",2016,58.6021,-172.128,"FEMALE_MAT"
"190",2017,59.8032,-173.244,"FEMALE_MAT"
"191",2018,59.813,-173.107,"FEMALE_MAT"
"192",2019,60.0819,-173.584,"FEMALE_MAT"
