SURVEY_YEAR,SEX,SIZE1,ABUN_IMM,ABUN_MAT
2010,FEMALE ,0,0,0
2010,FEMALE ,1,0,0
2010,FEMALE ,2,0,0
2010,FEMALE ,3,0,0
2010,FEMALE ,4,0,0
2010,FEMALE ,5,0,0
2010,FEMALE ,6,0,0
2010,FEMALE ,7,0,0
2010,FEMALE ,8,0,0
2010,FEMALE ,9,0,0
2010,FEMALE ,10,0,0
2010,FEMALE ,11,67861,0
2010,FEMALE ,12,0,0
2010,FEMALE ,13,0,0
2010,FEMALE ,14,0,0
2010,FEMALE ,15,33807,0
2010,FEMALE ,16,64927,0
2010,FEMALE ,17,186339,0
2010,FEMALE ,18,5319084,0
2010,FEMALE ,19,2458240,0
2010,FEMALE ,20,12024468,0
2010,FEMALE ,21,19276916,0
2010,FEMALE ,22,78661486,0
2010,FEMALE ,23,63099885,0
2010,FEMALE ,24,104036061,0
2010,FEMALE ,25,97994507,0
2010,FEMALE ,26,94206988,0
2010,FEMALE ,27,178832815,0
2010,FEMALE ,28,85253394,0
2010,FEMALE ,29,98975389,0
2010,FEMALE ,30,131706831,0
2010,FEMALE ,31,156372577,339318
2010,FEMALE ,32,247947585,0
2010,FEMALE ,33,200807860,0
2010,FEMALE ,34,209323314,0
2010,FEMALE ,35,235503986,0
2010,FEMALE ,36,224687157,0
2010,FEMALE ,37,279922224,1536166
2010,FEMALE ,38,303845713,8060168
2010,FEMALE ,39,241240692,116070
2010,FEMALE ,40,247020925,13075889
2010,FEMALE ,41,366129235,6351799
2010,FEMALE ,42,412862627,16616393
2010,FEMALE ,43,370185300,7767783
2010,FEMALE ,44,356139576,7002084
2010,FEMALE ,45,310816644,39236330
2010,FEMALE ,46,245761514,16507855
2010,FEMALE ,47,257561405,16928975
2010,FEMALE ,48,102617442,38605516
2010,FEMALE ,49,81460356,41827132
2010,FEMALE ,50,60105848,42591565
2010,FEMALE ,51,35767207,46389356
2010,FEMALE ,52,28200092,39421430
2010,FEMALE ,53,16450727,26289287
2010,FEMALE ,54,13666594,20201184
2010,FEMALE ,55,8281665,20154430
2010,FEMALE ,56,3685440,16331760
2010,FEMALE ,57,8903513,10329412
2010,FEMALE ,58,2004968,8998862
2010,FEMALE ,59,880804,433676
2010,FEMALE ,60,309652,2737722
2010,FEMALE ,61,0,5215705
2010,FEMALE ,62,0,496912
2010,FEMALE ,63,0,106568
2010,FEMALE ,64,0,7918568
2010,FEMALE ,65,0,0
2010,FEMALE ,66,0,0
2010,FEMALE ,67,29809,413354
2010,FEMALE ,68,0,0
2010,FEMALE ,69,0,0
2010,FEMALE ,70,0,0
2010,FEMALE ,71,0,0
2010,FEMALE ,72,0,0
2010,FEMALE ,73,0,0
2010,FEMALE ,74,0,0
2010,FEMALE ,75,0,0
2010,FEMALE ,76,0,0
2010,FEMALE ,77,0,0
2010,FEMALE ,78,0,0
2010,FEMALE ,79,0,0
2010,FEMALE ,80,0,0
2010,FEMALE ,81,0,0
2010,FEMALE ,82,0,0
2010,FEMALE ,83,0,0
2010,FEMALE ,84,0,0
2010,FEMALE ,85,0,0
2010,FEMALE ,86,0,0
2010,FEMALE ,87,0,0
2010,FEMALE ,88,0,0
2010,FEMALE ,89,0,0
2010,FEMALE ,90,0,0
2010,FEMALE ,91,0,0
2010,FEMALE ,92,0,0
2010,FEMALE ,93,0,0
2010,FEMALE ,94,0,0
2010,FEMALE ,95,0,0
2010,FEMALE ,96,0,0
2010,FEMALE ,97,0,0
2010,FEMALE ,98,0,0
2010,FEMALE ,99,0,0
2010,FEMALE ,100,0,0
2010,FEMALE ,101,0,0
2010,FEMALE ,102,0,0
2010,FEMALE ,103,0,0
2010,FEMALE ,104,0,0
2010,FEMALE ,105,0,0
2010,FEMALE ,106,0,0
2010,FEMALE ,107,0,0
2010,FEMALE ,108,0,0
2010,FEMALE ,109,0,0
2010,FEMALE ,110,0,0
2010,FEMALE ,111,0,0
2010,FEMALE ,112,0,0
2010,FEMALE ,113,0,0
2010,FEMALE ,114,0,0
2010,FEMALE ,115,0,0
2010,FEMALE ,116,0,0
2010,FEMALE ,117,0,0
2010,FEMALE ,118,0,0
2010,FEMALE ,119,0,0
2010,FEMALE ,120,0,0
2010,FEMALE ,121,0,0
2010,FEMALE ,122,0,0
2010,FEMALE ,123,0,0
2010,FEMALE ,124,0,0
2010,FEMALE ,125,0,0
2010,FEMALE ,126,0,0
2010,FEMALE ,127,0,0
2010,FEMALE ,128,0,0
2010,FEMALE ,129,0,0
2010,FEMALE ,130,0,0
2010,FEMALE ,131,0,0
2010,FEMALE ,132,0,0
2010,FEMALE ,133,0,0
2010,FEMALE ,134,0,0
2010,FEMALE ,135,0,0
2010,FEMALE ,136,0,0
2010,FEMALE ,137,0,0
2010,FEMALE ,138,0,0
2010,FEMALE ,139,0,0
2010,FEMALE ,140,0,0
2010,FEMALE ,141,0,0
2010,FEMALE ,142,0,0
2010,FEMALE ,143,0,0
2010,FEMALE ,144,0,0
2010,FEMALE ,145,0,0
2010,FEMALE ,146,0,0
2010,FEMALE ,147,0,0
2010,FEMALE ,148,0,0
2010,FEMALE ,149,0,0
2010,FEMALE ,150,0,0
2010,FEMALE ,151,0,0
2010,FEMALE ,152,0,0
2010,FEMALE ,153,0,0
2010,FEMALE ,154,0,0
2010,FEMALE ,155,0,0
2010,FEMALE ,156,0,0
2010,FEMALE ,157,0,0
2010,FEMALE ,158,0,0
2010,FEMALE ,159,0,0
2010,FEMALE ,160,0,0
2010,FEMALE ,161,0,0
2010,FEMALE ,162,0,0
2010,FEMALE ,163,0,0
2010,FEMALE ,164,0,0
2010,FEMALE ,165,0,0
2010,FEMALE ,166,0,0
2010,FEMALE ,167,0,0
2010,FEMALE ,168,0,0
2010,FEMALE ,169,0,0
2010,FEMALE ,170,0,0
2010,FEMALE ,171,0,0
2010,FEMALE ,172,0,0
2010,FEMALE ,173,0,0
2010,FEMALE ,174,0,0
2010,FEMALE ,175,0,0
2010,FEMALE ,176,0,0
2010,FEMALE ,177,0,0
2010,FEMALE ,178,0,0
2010,FEMALE ,179,0,0
2010,FEMALE ,180,0,0
2010,FEMALE ,181,0,0
2010,FEMALE ,182,0,0
2010,FEMALE ,183,0,0
2010,FEMALE ,184,0,0
2010,FEMALE ,185,0,0
2010,FEMALE ,186,0,0
2010,FEMALE ,187,0,0
2010,FEMALE ,188,0,0
2010,FEMALE ,189,0,0
2010,FEMALE ,190,0,0
2010,FEMALE ,191,0,0
2010,FEMALE ,192,0,0
2010,FEMALE ,193,0,0
2010,FEMALE ,194,0,0
2010,FEMALE ,195,0,0
2010,FEMALE ,196,0,0
2010,FEMALE ,197,0,0
2010,FEMALE ,198,0,0
2010,FEMALE ,199,0,0
2010,FEMALE ,200,0,0
2010,FEMALE ,201,0,0
2010,FEMALE ,202,0,0
2010,FEMALE ,203,0,0
2010,FEMALE ,204,0,0
2010,FEMALE ,205,0,0
2010,FEMALE ,206,0,0
2010,FEMALE ,207,0,0
2010,FEMALE ,208,0,0
2010,FEMALE ,209,0,0
2010,FEMALE ,210,0,0
2010,FEMALE ,211,0,0
2010,FEMALE ,212,0,0
2010,FEMALE ,213,0,0
2010,FEMALE ,214,0,0
2010,FEMALE ,215,0,0
2010,FEMALE ,216,0,0
2010,FEMALE ,217,0,0
2010,FEMALE ,218,0,0
2010,FEMALE ,219,0,0
2010,FEMALE ,220,0,0
2010,FEMALE ,221,0,0
2010,FEMALE ,222,0,0
2010,FEMALE ,223,0,0
2010,FEMALE ,224,0,0
2010,FEMALE ,225,0,0
2010,FEMALE ,226,0,0
2010,FEMALE ,227,0,0
2010,FEMALE ,228,0,0
2010,FEMALE ,229,0,0
2010,FEMALE ,230,0,0
2010,FEMALE ,231,0,0
2010,FEMALE ,232,0,0
2010,FEMALE ,233,0,0
2010,FEMALE ,234,0,0
2010,FEMALE ,235,0,0
2010,FEMALE ,236,0,0
2010,FEMALE ,237,0,0
2010,FEMALE ,238,0,0
2010,FEMALE ,239,0,0
2010,FEMALE ,240,0,0
2010,FEMALE ,241,0,0
2010,FEMALE ,242,0,0
2010,FEMALE ,243,0,0
2010,FEMALE ,244,0,0
2010,FEMALE ,245,0,0
2010,FEMALE ,246,0,0
2010,FEMALE ,247,0,0
2010,FEMALE ,248,0,0
2010,FEMALE ,249,0,0
2010,FEMALE ,250,0,0
2017,FEMALE ,0,0,0
2017,FEMALE ,1,0,0
2017,FEMALE ,2,0,0
2017,FEMALE ,3,0,0
2017,FEMALE ,4,0,0
2017,FEMALE ,5,0,0
2017,FEMALE ,6,1376576,0
2017,FEMALE ,7,1365998,0
2017,FEMALE ,8,30850,0
2017,FEMALE ,9,61701,0
2017,FEMALE ,10,0,0
2017,FEMALE ,11,61701,0
2017,FEMALE ,12,0,0
2017,FEMALE ,13,33114,0
2017,FEMALE ,14,94815,0
2017,FEMALE ,15,225006,0
2017,FEMALE ,16,924919,0
2017,FEMALE ,17,830074,0
2017,FEMALE ,18,562932,0
2017,FEMALE ,19,626055,0
2017,FEMALE ,20,1452779,0
2017,FEMALE ,21,1738619,0
2017,FEMALE ,22,3551408,0
2017,FEMALE ,23,12223774,0
2017,FEMALE ,24,23783499,0
2017,FEMALE ,25,31190867,0
2017,FEMALE ,26,52034826,0
2017,FEMALE ,27,75303338,0
2017,FEMALE ,28,172183630,0
2017,FEMALE ,29,263517521,0
2017,FEMALE ,30,346677570,102491
2017,FEMALE ,31,338951586,0
2017,FEMALE ,32,426949163,28287
2017,FEMALE ,33,439077307,134775
2017,FEMALE ,34,336688632,30606
2017,FEMALE ,35,275076607,61212
2017,FEMALE ,36,270823279,439595
2017,FEMALE ,37,225473935,1665204
2017,FEMALE ,38,188308990,3794030
2017,FEMALE ,39,160550490,6068005
2017,FEMALE ,40,230322896,7235522
2017,FEMALE ,41,190442987,5689872
2017,FEMALE ,42,185851314,6774821
2017,FEMALE ,43,116908880,7134326
2017,FEMALE ,44,116380340,8771433
2017,FEMALE ,45,74891750,10859819
2017,FEMALE ,46,81431009,10943918
2017,FEMALE ,47,32459740,13316751
2017,FEMALE ,48,21038080,9743298
2017,FEMALE ,49,18248900,10786092
2017,FEMALE ,50,9203144,9288242
2017,FEMALE ,51,9361480,7526216
2017,FEMALE ,52,9086447,8672975
2017,FEMALE ,53,3883644,6413377
2017,FEMALE ,54,3555906,4413629
2017,FEMALE ,55,2976841,5321806
2017,FEMALE ,56,2286084,2752440
2017,FEMALE ,57,2184703,1331981
2017,FEMALE ,58,624056,1137862
2017,FEMALE ,59,27120,383499
2017,FEMALE ,60,520173,240492
2017,FEMALE ,61,0,423938
2017,FEMALE ,62,32822,256564
2017,FEMALE ,63,1078549,234713
2017,FEMALE ,64,32822,182554
2017,FEMALE ,65,0,30151
2017,FEMALE ,66,0,32822
2017,FEMALE ,67,0,0
2017,FEMALE ,68,0,32822
2017,FEMALE ,69,0,0
2017,FEMALE ,70,0,32822
2017,FEMALE ,71,0,0
2017,FEMALE ,72,0,0
2017,FEMALE ,73,0,0
2017,FEMALE ,74,0,0
2017,FEMALE ,75,0,0
2017,FEMALE ,76,0,0
2017,FEMALE ,77,0,0
2017,FEMALE ,78,0,0
2017,FEMALE ,79,0,0
2017,FEMALE ,80,0,0
2017,FEMALE ,81,0,0
2017,FEMALE ,82,0,0
2017,FEMALE ,83,0,0
2017,FEMALE ,84,0,0
2017,FEMALE ,85,0,0
2017,FEMALE ,86,0,0
2017,FEMALE ,87,0,0
2017,FEMALE ,88,0,0
2017,FEMALE ,89,0,0
2017,FEMALE ,90,0,0
2017,FEMALE ,91,0,0
2017,FEMALE ,92,0,0
2017,FEMALE ,93,0,0
2017,FEMALE ,94,0,0
2017,FEMALE ,95,0,0
2017,FEMALE ,96,0,0
2017,FEMALE ,97,0,0
2017,FEMALE ,98,0,0
2017,FEMALE ,99,0,0
2017,FEMALE ,100,0,0
2017,FEMALE ,101,0,0
2017,FEMALE ,102,0,0
2017,FEMALE ,103,0,0
2017,FEMALE ,104,0,0
2017,FEMALE ,105,0,0
2017,FEMALE ,106,0,0
2017,FEMALE ,107,0,0
2017,FEMALE ,108,0,0
2017,FEMALE ,109,0,0
2017,FEMALE ,110,0,0
2017,FEMALE ,111,0,0
2017,FEMALE ,112,0,0
2017,FEMALE ,113,0,0
2017,FEMALE ,114,0,0
2017,FEMALE ,115,0,0
2017,FEMALE ,116,0,0
2017,FEMALE ,117,0,0
2017,FEMALE ,118,0,0
2017,FEMALE ,119,0,0
2017,FEMALE ,120,0,0
2017,FEMALE ,121,0,0
2017,FEMALE ,122,0,0
2017,FEMALE ,123,0,0
2017,FEMALE ,124,0,0
2017,FEMALE ,125,0,0
2017,FEMALE ,126,0,0
2017,FEMALE ,127,0,0
2017,FEMALE ,128,0,0
2017,FEMALE ,129,0,0
2017,FEMALE ,130,0,0
2017,FEMALE ,131,0,0
2017,FEMALE ,132,0,0
2017,FEMALE ,133,0,0
2017,FEMALE ,134,0,0
2017,FEMALE ,135,0,0
2017,FEMALE ,136,0,0
2017,FEMALE ,137,0,0
2017,FEMALE ,138,0,0
2017,FEMALE ,139,0,0
2017,FEMALE ,140,0,0
2017,FEMALE ,141,0,0
2017,FEMALE ,142,0,0
2017,FEMALE ,143,0,0
2017,FEMALE ,144,0,0
2017,FEMALE ,145,0,0
2017,FEMALE ,146,0,0
2017,FEMALE ,147,0,0
2017,FEMALE ,148,0,0
2017,FEMALE ,149,0,0
2017,FEMALE ,150,0,0
2017,FEMALE ,151,0,0
2017,FEMALE ,152,0,0
2017,FEMALE ,153,0,0
2017,FEMALE ,154,0,0
2017,FEMALE ,155,0,0
2017,FEMALE ,156,0,0
2017,FEMALE ,157,0,0
2017,FEMALE ,158,0,0
2017,FEMALE ,159,0,0
2017,FEMALE ,160,0,0
2017,FEMALE ,161,0,0
2017,FEMALE ,162,0,0
2017,FEMALE ,163,0,0
2017,FEMALE ,164,0,0
2017,FEMALE ,165,0,0
2017,FEMALE ,166,0,0
2017,FEMALE ,167,0,0
2017,FEMALE ,168,0,0
2017,FEMALE ,169,0,0
2017,FEMALE ,170,0,0
2017,FEMALE ,171,0,0
2017,FEMALE ,172,0,0
2017,FEMALE ,173,0,0
2017,FEMALE ,174,0,0
2017,FEMALE ,175,0,0
2017,FEMALE ,176,0,0
2017,FEMALE ,177,0,0
2017,FEMALE ,178,0,0
2017,FEMALE ,179,0,0
2017,FEMALE ,180,0,0
2017,FEMALE ,181,0,0
2017,FEMALE ,182,0,0
2017,FEMALE ,183,0,0
2017,FEMALE ,184,0,0
2017,FEMALE ,185,0,0
2017,FEMALE ,186,0,0
2017,FEMALE ,187,0,0
2017,FEMALE ,188,0,0
2017,FEMALE ,189,0,0
2017,FEMALE ,190,0,0
2017,FEMALE ,191,0,0
2017,FEMALE ,192,0,0
2017,FEMALE ,193,0,0
2017,FEMALE ,194,0,0
2017,FEMALE ,195,0,0
2017,FEMALE ,196,0,0
2017,FEMALE ,197,0,0
2017,FEMALE ,198,0,0
2017,FEMALE ,199,0,0
2017,FEMALE ,200,0,0
2017,FEMALE ,201,0,0
2017,FEMALE ,202,0,0
2017,FEMALE ,203,0,0
2017,FEMALE ,204,0,0
2017,FEMALE ,205,0,0
2017,FEMALE ,206,0,0
2017,FEMALE ,207,0,0
2017,FEMALE ,208,0,0
2017,FEMALE ,209,0,0
2017,FEMALE ,210,0,0
2017,FEMALE ,211,0,0
2017,FEMALE ,212,0,0
2017,FEMALE ,213,0,0
2017,FEMALE ,214,0,0
2017,FEMALE ,215,0,0
2017,FEMALE ,216,0,0
2017,FEMALE ,217,0,0
2017,FEMALE ,218,0,0
2017,FEMALE ,219,0,0
2017,FEMALE ,220,0,0
2017,FEMALE ,221,0,0
2017,FEMALE ,222,0,0
2017,FEMALE ,223,0,0
2017,FEMALE ,224,0,0
2017,FEMALE ,225,0,0
2017,FEMALE ,226,0,0
2017,FEMALE ,227,0,0
2017,FEMALE ,228,0,0
2017,FEMALE ,229,0,0
2017,FEMALE ,230,0,0
2017,FEMALE ,231,0,0
2017,FEMALE ,232,0,0
2017,FEMALE ,233,0,0
2017,FEMALE ,234,0,0
2017,FEMALE ,235,0,0
2017,FEMALE ,236,0,0
2017,FEMALE ,237,0,0
2017,FEMALE ,238,0,0
2017,FEMALE ,239,0,0
2017,FEMALE ,240,0,0
2017,FEMALE ,241,0,0
2017,FEMALE ,242,0,0
2017,FEMALE ,243,0,0
2017,FEMALE ,244,0,0
2017,FEMALE ,245,0,0
2017,FEMALE ,246,0,0
2017,FEMALE ,247,0,0
2017,FEMALE ,248,0,0
2017,FEMALE ,249,0,0
2017,FEMALE ,250,0,0
2018,FEMALE ,0,0,0
2018,FEMALE ,1,0,0
2018,FEMALE ,2,0,0
2018,FEMALE ,3,0,0
2018,FEMALE ,4,0,0
2018,FEMALE ,5,0,0
2018,FEMALE ,6,0,0
2018,FEMALE ,7,0,0
2018,FEMALE ,8,0,0
2018,FEMALE ,9,0,0
2018,FEMALE ,10,141434,0
2018,FEMALE ,11,1232430,0
2018,FEMALE ,12,986109,0
2018,FEMALE ,13,378174,0
2018,FEMALE ,14,0,0
2018,FEMALE ,15,0,0
2018,FEMALE ,16,70743,0
2018,FEMALE ,17,446212,0
2018,FEMALE ,18,821044,0
2018,FEMALE ,19,479471,0
2018,FEMALE ,20,682819,0
2018,FEMALE ,21,1556556,0
2018,FEMALE ,22,569680,0
2018,FEMALE ,23,170787,0
2018,FEMALE ,24,2286994,0
2018,FEMALE ,25,1087215,0
2018,FEMALE ,26,1210552,0
2018,FEMALE ,27,12039451,0
2018,FEMALE ,28,13084568,0
2018,FEMALE ,29,5709230,0
2018,FEMALE ,30,13528074,0
2018,FEMALE ,31,30946543,0
2018,FEMALE ,32,35009156,0
2018,FEMALE ,33,49273679,0
2018,FEMALE ,34,44315580,0
2018,FEMALE ,35,39017577,0
2018,FEMALE ,36,70266456,1640854
2018,FEMALE ,37,143334351,1739318
2018,FEMALE ,38,139623620,3261462
2018,FEMALE ,39,207025786,6257654
2018,FEMALE ,40,188360894,9053835
2018,FEMALE ,41,273935116,10350556
2018,FEMALE ,42,265178372,5371890
2018,FEMALE ,43,203311723,8669985
2018,FEMALE ,44,201956146,6777284
2018,FEMALE ,45,96581040,6005909
2018,FEMALE ,46,88860911,2819264
2018,FEMALE ,47,46449352,8904030
2018,FEMALE ,48,23896498,2309790
2018,FEMALE ,49,19187060,4123479
2018,FEMALE ,50,9829383,3790084
2018,FEMALE ,51,7665306,1224388
2018,FEMALE ,52,6918750,3238565
2018,FEMALE ,53,6396388,1891832
2018,FEMALE ,54,7118800,1191868
2018,FEMALE ,55,7799056,193610
2018,FEMALE ,56,6333079,126618
2018,FEMALE ,57,5181610,608379
2018,FEMALE ,58,4605876,766096
2018,FEMALE ,59,2302938,1731882
2018,FEMALE ,60,575734,0
2018,FEMALE ,61,1151469,63309
2018,FEMALE ,62,0,66556
2018,FEMALE ,63,0,0
2018,FEMALE ,64,0,63760
2018,FEMALE ,65,0,0
2018,FEMALE ,66,0,0
2018,FEMALE ,67,0,575734
2018,FEMALE ,68,0,0
2018,FEMALE ,69,0,0
2018,FEMALE ,70,0,0
2018,FEMALE ,71,0,0
2018,FEMALE ,72,0,0
2018,FEMALE ,73,0,0
2018,FEMALE ,74,1556556,0
2018,FEMALE ,75,0,0
2018,FEMALE ,76,0,0
2018,FEMALE ,77,0,0
2018,FEMALE ,78,0,0
2018,FEMALE ,79,0,0
2018,FEMALE ,80,0,0
2018,FEMALE ,81,0,0
2018,FEMALE ,82,0,0
2018,FEMALE ,83,0,0
2018,FEMALE ,84,0,0
2018,FEMALE ,85,0,0
2018,FEMALE ,86,0,0
2018,FEMALE ,87,0,0
2018,FEMALE ,88,0,0
2018,FEMALE ,89,0,0
2018,FEMALE ,90,0,0
2018,FEMALE ,91,0,0
2018,FEMALE ,92,0,0
2018,FEMALE ,93,0,0
2018,FEMALE ,94,0,0
2018,FEMALE ,95,0,0
2018,FEMALE ,96,0,0
2018,FEMALE ,97,0,0
2018,FEMALE ,98,0,0
2018,FEMALE ,99,0,0
2018,FEMALE ,100,0,0
2018,FEMALE ,101,0,0
2018,FEMALE ,102,0,0
2018,FEMALE ,103,0,0
2018,FEMALE ,104,0,0
2018,FEMALE ,105,0,0
2018,FEMALE ,106,0,0
2018,FEMALE ,107,0,0
2018,FEMALE ,108,0,0
2018,FEMALE ,109,0,0
2018,FEMALE ,110,0,0
2018,FEMALE ,111,0,0
2018,FEMALE ,112,0,0
2018,FEMALE ,113,0,0
2018,FEMALE ,114,0,0
2018,FEMALE ,115,0,0
2018,FEMALE ,116,0,0
2018,FEMALE ,117,0,0
2018,FEMALE ,118,0,0
2018,FEMALE ,119,0,0
2018,FEMALE ,120,0,0
2018,FEMALE ,121,0,0
2018,FEMALE ,122,0,0
2018,FEMALE ,123,0,0
2018,FEMALE ,124,0,0
2018,FEMALE ,125,0,0
2018,FEMALE ,126,0,0
2018,FEMALE ,127,0,0
2018,FEMALE ,128,0,0
2018,FEMALE ,129,0,0
2018,FEMALE ,130,0,0
2018,FEMALE ,131,0,0
2018,FEMALE ,132,0,0
2018,FEMALE ,133,0,0
2018,FEMALE ,134,0,0
2018,FEMALE ,135,0,0
2018,FEMALE ,136,0,0
2018,FEMALE ,137,0,0
2018,FEMALE ,138,0,0
2018,FEMALE ,139,0,0
2018,FEMALE ,140,0,0
2018,FEMALE ,141,0,0
2018,FEMALE ,142,0,0
2018,FEMALE ,143,0,0
2018,FEMALE ,144,0,0
2018,FEMALE ,145,0,0
2018,FEMALE ,146,0,0
2018,FEMALE ,147,0,0
2018,FEMALE ,148,0,0
2018,FEMALE ,149,0,0
2018,FEMALE ,150,0,0
2018,FEMALE ,151,0,0
2018,FEMALE ,152,0,0
2018,FEMALE ,153,0,0
2018,FEMALE ,154,0,0
2018,FEMALE ,155,0,0
2018,FEMALE ,156,0,0
2018,FEMALE ,157,0,0
2018,FEMALE ,158,0,0
2018,FEMALE ,159,0,0
2018,FEMALE ,160,0,0
2018,FEMALE ,161,0,0
2018,FEMALE ,162,0,0
2018,FEMALE ,163,0,0
2018,FEMALE ,164,0,0
2018,FEMALE ,165,0,0
